"ranking","municipio","IDHM_2010","IDHM_renda","IDHM_longevidade","IDHM_educação","estado"
"1 º","São Caetano do Sul",0.862,0.891,0.887,0.811,"SP"
"2 º","Águas de São Pedro",0.854,0.849,0.89,0.825,"SP"
"3 º","Florianópolis",0.847,0.87,0.873,0.8,"SC"
"4 º","Balneário Camboriú",0.845,0.854,0.894,0.789,"SC"
"4 º","Vitória",0.845,0.876,0.855,0.805,"ES"
"6 º","Santos",0.84,0.861,0.852,0.807,"SP"
"7 º","Niterói",0.837,0.887,0.854,0.773,"RJ"
"8 º","Joaçaba",0.827,0.823,0.891,0.771,"SC"
"9 º","Brasília",0.824,0.863,0.873,0.742,"DF"
"10 º","Curitiba",0.823,0.85,0.855,0.768,"PR"
"11 º","Jundiaí",0.822,0.834,0.866,0.768,"SP"
"12 º","Valinhos",0.819,0.848,0.85,0.763,"SP"
"13 º","Vinhedo",0.817,0.84,0.878,0.739,"SP"
"14 º","Santo André",0.815,0.819,0.861,0.769,"SP"
"14 º","Araraquara",0.815,0.788,0.877,0.782,"SP"
"16 º","Santana de Parnaíba",0.814,0.876,0.849,0.725,"SP"
"17 º","Nova Lima",0.813,0.864,0.885,0.704,"MG"
"18 º","Ilha Solteira",0.812,0.786,0.871,0.782,"SP"
"19 º","Americana",0.811,0.8,0.876,0.76,"SP"
"20 º","Belo Horizonte",0.81,0.841,0.856,0.737,"MG"
"21 º","São José",0.809,0.799,0.88,0.752,"SC"
"21 º","Joinville",0.809,0.795,0.889,0.749,"SC"
"23 º","Maringá",0.808,0.806,0.852,0.768,"PR"
"24 º","São José dos Campos",0.807,0.804,0.855,0.764,"SP"
"25 º","Blumenau",0.806,0.812,0.894,0.722,"SC"
"25 º","Presidente Prudente",0.806,0.788,0.858,0.774,"SP"
"25 º","Rio Fortuna",0.806,0.848,0.85,0.727,"SC"
"28 º","São Paulo",0.805,0.843,0.855,0.725,"SP"
"28 º","Assis",0.805,0.771,0.865,0.781,"SP"
"28 º","Campinas",0.805,0.829,0.86,0.731,"SP"
"28 º","São Bernardo do Campo",0.805,0.807,0.861,0.752,"SP"
"28 º","Porto Alegre",0.805,0.867,0.857,0.702,"RS"
"28 º","São Carlos",0.805,0.788,0.863,0.766,"SP"
"34 º","Rio Claro",0.803,0.784,0.862,0.766,"SP"
"34 º","Jaraguá do Sul",0.803,0.793,0.865,0.755,"SC"
"36 º","Rio do Sul",0.802,0.793,0.894,0.727,"SC"
"37 º","Bauru",0.801,0.8,0.854,0.752,"SP"
"37 º","São Miguel do Oeste",0.801,0.787,0.884,0.739,"SC"
"37 º","Pirassununga",0.801,0.789,0.884,0.736,"SP"
"40 º","Concórdia",0.8,0.777,0.872,0.756,"SC"
"40 º","Vila Velha",0.8,0.807,0.864,0.734,"ES"
"40 º","Taubaté",0.8,0.778,0.883,0.746,"SP"
"40 º","Ribeirão Preto",0.8,0.82,0.844,0.739,"SP"
"40 º","Botucatu",0.8,0.79,0.869,0.746,"SP"
"45 º","Goiânia",0.799,0.824,0.838,0.739,"GO"
"45 º","Rio de Janeiro",0.799,0.84,0.845,0.719,"RJ"
"47 º","Marília",0.798,0.768,0.854,0.776,"SP"
"47 º","Sorocaba",0.798,0.792,0.843,0.762,"SP"
"47 º","Guaratinguetá",0.798,0.764,0.886,0.751,"SP"
"50 º","São João da Boa Vista",0.797,0.776,0.871,0.749,"SP"
"50 º","São José do Rio Preto",0.797,0.801,0.846,0.748,"SP"
"50 º","Fernandópolis",0.797,0.767,0.872,0.758,"SP"
"53 º","Itapema",0.796,0.788,0.881,0.727,"SC"
"53 º","Tubarão",0.796,0.788,0.866,0.74,"SC"
"53 º","Carlos Barbosa",0.796,0.835,0.835,0.724,"RS"
"56 º","Brusque",0.795,0.794,0.894,0.707,"SC"
"56 º","Iomerê",0.795,0.754,0.891,0.749,"SC"
"56 º","Paulínia",0.795,0.8,0.864,0.727,"SP"
"56 º","Treze Tílias",0.795,0.838,0.874,0.685,"SC"
"56 º","Itajaí",0.795,0.778,0.884,0.73,"SC"
"61 º","Holambra",0.793,0.815,0.878,0.698,"SP"
"62 º","Quatro Pontes",0.791,0.79,0.838,0.748,"PR"
"62 º","Três Arroios",0.791,0.843,0.851,0.689,"RS"
"62 º","Nova Odessa",0.791,0.755,0.861,0.762,"SP"
"62 º","Ipiranga do Sul",0.791,0.818,0.866,0.698,"RS"
"62 º","Saltinho",0.791,0.771,0.857,0.75,"SP"
"67 º","Votuporanga",0.79,0.772,0.857,0.744,"SP"
"67 º","Santa Cruz da Conceição",0.79,0.83,0.876,0.679,"SP"
"67 º","Adamantina",0.79,0.772,0.852,0.75,"SP"
"67 º","Chapecó",0.79,0.779,0.871,0.727,"SC"
"71 º","Cândido Rodrigues",0.789,0.747,0.863,0.762,"SP"
"71 º","Uberlândia",0.789,0.776,0.885,0.716,"MG"
"71 º","Barretos",0.789,0.762,0.875,0.738,"SP"
"71 º","Luzerna",0.789,0.781,0.877,0.718,"SC"
"71 º","Lagoa dos Três Cantos",0.789,0.765,0.852,0.754,"RS"
"76 º","Araçatuba",0.788,0.782,0.841,0.744,"SP"
"76 º","Cruzeiro",0.788,0.742,0.871,0.758,"SP"
"76 º","Mairiporã",0.788,0.767,0.881,0.723,"SP"
"76 º","Barra Bonita",0.788,0.762,0.869,0.739,"SP"
"76 º","Criciúma",0.788,0.786,0.846,0.737,"SC"
"76 º","Indaiatuba",0.788,0.791,0.837,0.738,"SP"
"76 º","Caçapava",0.788,0.754,0.858,0.755,"SP"
"76 º","Fernando de Noronha",0.788,0.781,0.839,0.748,"PE"
"76 º","Palmas",0.788,0.789,0.827,0.749,"TO"
"85 º","Itajubá",0.787,0.767,0.884,0.718,"MG"
"85 º","Espírito Santo do Pinhal",0.787,0.784,0.872,0.712,"SP"
"87 º","Garibaldi",0.786,0.825,0.856,0.688,"RS"
"87 º","Pompéia",0.786,0.75,0.864,0.748,"SP"
"87 º","Porto União",0.786,0.752,0.891,0.724,"SC"
"87 º","Lins",0.786,0.762,0.869,0.733,"SP"
"87 º","Barueri",0.786,0.791,0.866,0.708,"SP"
"92 º","Piracicaba",0.785,0.797,0.848,0.717,"SP"
"92 º","Amparo",0.785,0.78,0.871,0.711,"SP"
"92 º","Nova Araçá",0.785,0.796,0.843,0.722,"RS"
"92 º","Cuiabá",0.785,0.8,0.834,0.726,"MT"
"92 º","Catanduva",0.785,0.767,0.853,0.74,"SP"
"92 º","Casca",0.785,0.778,0.847,0.733,"RS"
"92 º","Tremembé",0.785,0.769,0.873,0.72,"SP"
"92 º","Monte Aprazível",0.785,0.781,0.861,0.72,"SP"
"100 º","Santa Fé do Sul",0.784,0.763,0.84,0.751,"SP"
"100 º","Ribeirão Pires",0.784,0.749,0.847,0.76,"SP"
"100 º","Ivoti",0.784,0.78,0.848,0.729,"RS"
"100 º","Jaguariúna",0.784,0.782,0.862,0.715,"SP"
"100 º","Santa Maria",0.784,0.795,0.848,0.715,"RS"
"100 º","Salto Veloso",0.784,0.778,0.88,0.705,"SC"
"100 º","Arujá",0.784,0.761,0.866,0.73,"SP"
"100 º","Timbó",0.784,0.807,0.856,0.697,"SC"
"100 º","Campo Grande",0.784,0.79,0.844,0.724,"MS"
"100 º","Mogi Mirim",0.784,0.767,0.879,0.715,"SP"
"110 º","Horizontina",0.783,0.782,0.858,0.716,"RS"
"110 º","Pinhalzinho",0.783,0.758,0.886,0.716,"SC"
"110 º","Mogi das Cruzes",0.783,0.762,0.851,0.74,"SP"
"113 º","Cascavel",0.782,0.776,0.846,0.728,"PR"
"113 º","Caxias do Sul",0.782,0.812,0.86,0.686,"RS"
"113 º","Pato Branco",0.782,0.778,0.845,0.728,"PR"
"113 º","Cerquilho",0.782,0.758,0.854,0.739,"SP"
"113 º","Lavras",0.782,0.757,0.88,0.719,"MG"
"113 º","São Bento do Sul",0.782,0.763,0.871,0.719,"SC"
"119 º","Caieiras",0.781,0.74,0.861,0.749,"SP"
"119 º","Ijuí",0.781,0.786,0.858,0.707,"RS"
"119 º","Santo Amaro da Imperatriz",0.781,0.753,0.89,0.71,"SC"
"119 º","Bombinhas",0.781,0.753,0.864,0.732,"SC"
"119 º","Maravilha",0.781,0.758,0.886,0.708,"SC"
"119 º","Águas da Prata",0.781,0.75,0.886,0.716,"SP"
"119 º","Lacerdópolis",0.781,0.763,0.883,0.708,"SC"
"119 º","Santa Bárbara D'Oeste",0.781,0.752,0.867,0.731,"SP"
"119 º","Araras",0.781,0.763,0.859,0.728,"SP"
"128 º","Bebedouro",0.78,0.756,0.853,0.735,"SP"
"128 º","Cocal do Sul",0.78,0.747,0.859,0.74,"SC"
"128 º","Pomerode",0.78,0.78,0.886,0.687,"SC"
"128 º","Franca",0.78,0.749,0.842,0.753,"SP"
"128 º","Vista Alegre do Prata",0.78,0.809,0.847,0.692,"RS"
"128 º","Nova Petrópolis",0.78,0.775,0.89,0.688,"RS"
"128 º","Boituva",0.78,0.757,0.861,0.728,"SP"
"128 º","Braço do Trombudo",0.78,0.766,0.883,0.702,"SC"
"128 º","Orlândia",0.78,0.765,0.882,0.703,"SP"
"128 º","Corupá",0.78,0.768,0.873,0.707,"SC"
"128 º","Cotia",0.78,0.789,0.851,0.707,"SP"
"128 º","Birigui",0.78,0.743,0.869,0.734,"SP"
"128 º","Salto",0.78,0.755,0.837,0.751,"SP"
"141 º","Poços de Caldas",0.779,0.768,0.872,0.706,"MG"
"141 º","Andradina",0.779,0.762,0.885,0.702,"SP"
"141 º","Piratininga",0.779,0.762,0.859,0.723,"SP"
"141 º","Seara",0.779,0.804,0.872,0.674,"SC"
"145 º","Bento Gonçalves",0.778,0.805,0.842,0.695,"RS"
"145 º","Varginha",0.778,0.76,0.875,0.707,"MG"
"145 º","Juiz de Fora",0.778,0.784,0.844,0.711,"MG"
"145 º","Ourinhos",0.778,0.753,0.859,0.727,"SP"
"145 º","Jaú",0.778,0.768,0.886,0.693,"SP"
"145 º","Londrina",0.778,0.789,0.837,0.712,"PR"
"145 º","Tietê",0.778,0.764,0.884,0.698,"SP"
"145 º","Jaboticabal",0.778,0.778,0.851,0.71,"SP"
"145 º","Itatiba",0.778,0.788,0.844,0.708,"SP"
"145 º","Lajeado",0.778,0.796,0.84,0.704,"RS"
"145 º","Braço do Norte",0.778,0.746,0.881,0.716,"SC"
"145 º","Nova Bréscia",0.778,0.836,0.847,0.666,"RS"
"157 º","Victor Graeff",0.777,0.774,0.84,0.722,"RS"
"157 º","José Bonifácio",0.777,0.752,0.869,0.717,"SP"
"157 º","Selbach",0.777,0.785,0.841,0.71,"RS"
"157 º","Indaial",0.777,0.767,0.873,0.701,"SC"
"157 º","Louveira",0.777,0.783,0.861,0.697,"SP"
"157 º","Mafra",0.777,0.738,0.88,0.723,"SC"
"157 º","Jacareí",0.777,0.749,0.837,0.749,"SP"
"157 º","Sarandi",0.777,0.776,0.858,0.705,"RS"
"157 º","Lagoa Santa",0.777,0.79,0.857,0.693,"MG"
"157 º","Pinheiro Preto",0.777,0.762,0.866,0.712,"SC"
"157 º","Farroupilha",0.777,0.783,0.861,0.696,"RS"
"168 º","Iracemápolis",0.776,0.742,0.863,0.729,"SP"
"168 º","Itaú de Minas",0.776,0.761,0.862,0.711,"MG"
"168 º","Bragança Paulista",0.776,0.772,0.861,0.704,"SP"
"168 º","Erechim",0.776,0.782,0.833,0.716,"RS"
"168 º","Passo Fundo",0.776,0.787,0.849,0.699,"RS"
"168 º","Jales",0.776,0.75,0.855,0.73,"SP"
"168 º","Osasco",0.776,0.776,0.84,0.718,"SP"
"168 º","Araçoiaba da Serra",0.776,0.751,0.86,0.723,"SP"
"168 º","Pirapozinho",0.776,0.74,0.863,0.733,"SP"
"168 º","Dracena",0.776,0.752,0.842,0.737,"SP"
"178 º","Xanxerê",0.775,0.76,0.861,0.711,"SC"
"178 º","Limeira",0.775,0.761,0.852,0.719,"SP"
"178 º","Ceres",0.775,0.753,0.842,0.733,"GO"
"178 º","Itapiranga",0.775,0.766,0.842,0.723,"SC"
"178 º","Viçosa",0.775,0.758,0.883,0.696,"MG"
"178 º","Santa Rita do Passa Quatro",0.775,0.764,0.887,0.686,"SP"
"178 º","Trombudo Central",0.775,0.76,0.88,0.696,"SC"
"185 º","Ouro",0.774,0.774,0.884,0.677,"SC"
"185 º","Treviso",0.774,0.737,0.882,0.714,"SC"
"185 º","Massaranduba",0.774,0.749,0.867,0.714,"SC"
"185 º","Mogi Guaçu",0.774,0.74,0.852,0.736,"SP"
"185 º","Siderópolis",0.774,0.751,0.88,0.701,"SC"
"185 º","Marau",0.774,0.773,0.857,0.699,"RS"
"185 º","Francisco Beltrão",0.774,0.758,0.844,0.726,"PR"
"185 º","Cruzália",0.774,0.698,0.853,0.778,"SP"
"185 º","Marechal Cândido Rondon",0.774,0.782,0.842,0.704,"PR"
"185 º","Pouso Alegre",0.774,0.755,0.872,0.704,"MG"
"185 º","São José do Rio Pardo",0.774,0.744,0.868,0.717,"SP"
"185 º","Pedrinhas Paulista",0.774,0.749,0.837,0.739,"SP"
"197 º","Paraí",0.773,0.787,0.866,0.679,"RS"
"197 º","Itu",0.773,0.782,0.854,0.692,"SP"
"197 º","Auriflama",0.773,0.746,0.84,0.738,"SP"
"197 º","Araguari",0.773,0.74,0.871,0.716,"MG"
"197 º","Serra Alta",0.773,0.758,0.879,0.694,"SC"
"197 º","Santana da Ponte Pensa",0.773,0.751,0.84,0.733,"SP"
"197 º","Rio das Ostras",0.773,0.784,0.854,0.689,"RJ"
"197 º","Pindamonhangaba",0.773,0.745,0.843,0.736,"SP"
"197 º","Olímpia",0.773,0.737,0.867,0.724,"SP"
"197 º","Veranópolis",0.773,0.797,0.838,0.692,"RS"
"197 º","Santa Cruz do Sul",0.773,0.782,0.852,0.693,"RS"
"197 º","Matão",0.773,0.766,0.847,0.713,"SP"
"197 º","Sebastianópolis do Sul",0.773,0.748,0.835,0.74,"SP"
"210 º","São Sebastião",0.772,0.747,0.875,0.703,"SP"
"210 º","Aratiba",0.772,0.801,0.856,0.67,"RS"
"210 º","Uberaba",0.772,0.772,0.845,0.705,"MG"
"210 º","Araxá",0.772,0.756,0.858,0.709,"MG"
"210 º","Santo Ângelo",0.772,0.765,0.863,0.696,"RS"
"210 º","Recife",0.772,0.798,0.825,0.698,"PE"
"210 º","Sales Oliveira",0.772,0.738,0.845,0.739,"SP"
"210 º","Monções",0.772,0.731,0.814,0.773,"SP"
"210 º","Urussanga",0.772,0.756,0.876,0.695,"SC"
"210 º","Santa Salete",0.772,0.712,0.864,0.748,"SP"
"220 º","Lajeado Grande",0.771,0.75,0.858,0.712,"SC"
"220 º","Maracaí",0.771,0.711,0.85,0.758,"SP"
"220 º","Volta Redonda",0.771,0.763,0.833,0.72,"RJ"
"220 º","Itá",0.771,0.747,0.879,0.698,"SC"
"220 º","Poá",0.771,0.71,0.856,0.754,"SP"
"220 º","Ipatinga",0.771,0.752,0.864,0.705,"MG"
"220 º","Tupã",0.771,0.764,0.852,0.704,"SP"
"227 º","Ouroeste",0.77,0.717,0.866,0.736,"SP"
"227 º","Lages",0.77,0.755,0.867,0.697,"SC"
"227 º","Montes Claros",0.77,0.707,0.868,0.744,"MG"
"227 º","Aracaju",0.77,0.784,0.823,0.708,"SE"
"227 º","Santa Rosa de Viterbo",0.77,0.746,0.868,0.704,"SP"
"227 º","Macatuba",0.77,0.763,0.859,0.697,"SP"
"227 º","Armazém",0.77,0.743,0.882,0.698,"SC"
"227 º","Oriente",0.77,0.717,0.837,0.761,"SP"
"227 º","Timóteo",0.77,0.737,0.836,0.742,"MG"
"227 º","Presidente Castello Branco",0.77,0.813,0.883,0.637,"SC"
"227 º","Vargem Grande Paulista",0.77,0.755,0.884,0.683,"SP"
"238 º","Tupi Paulista",0.769,0.762,0.835,0.715,"SP"
"238 º","Santa Rosa",0.769,0.752,0.871,0.693,"RS"
"238 º","Taboão da Serra",0.769,0.742,0.863,0.71,"SP"
"238 º","Cosmópolis",0.769,0.746,0.876,0.697,"SP"
"238 º","São Carlos",0.769,0.763,0.867,0.688,"SC"
"238 º","Campo Limpo Paulista",0.769,0.733,0.84,0.739,"SP"
"238 º","Schroeder",0.769,0.75,0.855,0.71,"SC"
"238 º","Garça",0.769,0.737,0.849,0.728,"SP"
"238 º","Arroio do Meio",0.769,0.75,0.86,0.706,"RS"
"238 º","Pedreira",0.769,0.75,0.864,0.701,"SP"
"238 º","Barbacena",0.769,0.751,0.881,0.687,"MG"
"249 º","Lucas do Rio Verde",0.768,0.766,0.833,0.71,"MT"
"249 º","Toledo",0.768,0.755,0.855,0.702,"PR"
"249 º","Nova Veneza",0.768,0.741,0.869,0.703,"SC"
"249 º","Nova Boa Vista",0.768,0.764,0.836,0.708,"RS"
"249 º","São Luís",0.768,0.741,0.813,0.752,"MA"
"249 º","Resende",0.768,0.762,0.839,0.709,"RJ"
"249 º","São Vicente",0.768,0.738,0.857,0.716,"SP"
"249 º","Palotina",0.768,0.76,0.864,0.689,"PR"
"249 º","Três Passos",0.768,0.745,0.858,0.71,"RS"
"249 º","São Roque",0.768,0.765,0.863,0.687,"SP"
"249 º","Igarapava",0.768,0.809,0.835,0.671,"SP"
"249 º","Bilac",0.768,0.743,0.845,0.722,"SP"
"249 º","Maracajá",0.768,0.752,0.861,0.699,"SC"
"249 º","Monte Alto",0.768,0.746,0.859,0.707,"SP"
"249 º","São Marcos",0.768,0.775,0.855,0.683,"RS"
"249 º","Regente Feijó",0.768,0.735,0.818,0.752,"SP"
"265 º","Serra Negra",0.767,0.764,0.873,0.676,"SP"
"265 º","Votorantim",0.767,0.72,0.838,0.747,"SP"
"265 º","Capivari de Baixo",0.767,0.724,0.87,0.716,"SC"
"265 º","Orindiúva",0.767,0.719,0.824,0.762,"SP"
"265 º","Estrela",0.767,0.776,0.85,0.684,"RS"
"265 º","Avaré",0.767,0.751,0.866,0.695,"SP"
"265 º","Dois Vizinhos",0.767,0.747,0.85,0.711,"PR"
"265 º","Encantado",0.767,0.764,0.858,0.687,"RS"
"265 º","Novo Xingu",0.767,0.749,0.85,0.708,"RS"
"274 º","Cedral",0.766,0.749,0.872,0.689,"SP"
"274 º","Poloni",0.766,0.736,0.853,0.717,"SP"
"274 º","Mauá",0.766,0.721,0.852,0.733,"SP"
"274 º","Nova Prata",0.766,0.782,0.839,0.686,"RS"
"274 º","Parnamirim",0.766,0.75,0.825,0.726,"RN"
"274 º","Santiago",0.766,0.746,0.882,0.682,"RS"
"274 º","Ivatuba",0.766,0.718,0.837,0.748,"PR"
"274 º","Peritiba",0.766,0.762,0.882,0.669,"SC"
"274 º","Pereira Barreto",0.766,0.728,0.845,0.732,"SP"
"274 º","Capivari do Sul",0.766,0.805,0.836,0.668,"RS"
"274 º","Alumínio",0.766,0.729,0.841,0.732,"SP"
"274 º","Carazinho",0.766,0.756,0.84,0.707,"RS"
"274 º","São Simão",0.766,0.732,0.852,0.722,"SP"
"274 º","Lorena",0.766,0.736,0.856,0.713,"SP"
"274 º","Catalão",0.766,0.769,0.819,0.715,"GO"
"289 º","Ituverava",0.765,0.768,0.841,0.694,"SP"
"289 º","Guaporé",0.765,0.781,0.837,0.685,"RS"
"289 º","Atibaia",0.765,0.786,0.851,0.67,"SP"
"289 º","Ibirubá",0.765,0.786,0.848,0.671,"RS"
"289 º","Imbituba",0.765,0.734,0.868,0.703,"SC"
"289 º","Suzano",0.765,0.708,0.873,0.723,"SP"
"289 º","Gaspar",0.765,0.77,0.889,0.655,"SC"
"289 º","São Domingos",0.765,0.769,0.861,0.675,"SC"
"289 º","Espumoso",0.765,0.747,0.884,0.677,"RS"
"289 º","Não-Me-Toque",0.765,NA,0.847,0.673,"RS"
"289 º","Colinas",0.765,0.786,0.84,0.678,"RS"
"289 º","Patos de Minas",0.765,0.749,0.855,0.698,"MG"
"289 º","Nova Erechim",0.765,0.767,0.851,0.686,"SC"
"289 º","Maricá",0.765,0.761,0.85,0.692,"RJ"
"289 º","Nova Europa",0.765,0.718,0.869,0.718,"SP"
"304 º","Santo Antônio do Palma",0.764,0.787,0.853,0.665,"RS"
"304 º","Arroio Trinta",0.764,0.781,0.873,0.653,"SC"
"304 º","Gramado",0.764,0.783,0.861,0.662,"RS"
"304 º","Rondinha",0.764,0.78,0.842,0.678,"RS"
"304 º","Lençóis Paulista",0.764,0.743,0.837,0.717,"SP"
"304 º","Ouro Branco",0.764,0.753,0.872,0.68,"MG"
"304 º","Cerro Largo",0.764,0.752,0.849,0.698,"RS"
"304 º","São Valentim do Sul",0.764,0.776,0.848,0.677,"RS"
"304 º","Videira",0.764,0.772,0.857,0.675,"SC"
"304 º","Cachoeira Paulista",0.764,0.733,0.837,0.728,"SP"
"304 º","Imbé",0.764,0.825,0.847,0.638,"RS"
"304 º","Montauri",0.764,0.79,0.852,0.662,"RS"
"304 º","Rosana",0.764,0.749,0.818,0.728,"SP"
"304 º","Macaé",0.764,0.792,0.828,0.681,"RJ"
"304 º","Divinópolis",0.764,0.753,0.844,0.702,"MG"
"304 º","Paraíso do Tocantins",0.764,0.759,0.831,0.706,"TO"
"320 º","São Domingos do Sul",0.763,0.78,0.839,0.68,"RS"
"320 º","Medianeira",0.763,0.762,0.849,0.686,"PR"
"320 º","Presidente Venceslau",0.763,0.749,0.837,0.708,"SP"
"320 º","São Pedro do Butiá",0.763,0.76,0.843,0.694,"RS"
"320 º","Guararapes",0.763,0.727,0.84,0.726,"SP"
"320 º","Natal",0.763,0.768,0.835,0.694,"RN"
"320 º","João Pessoa",0.763,0.77,0.832,0.693,"PB"
"320 º","Paranavaí",0.763,0.75,0.844,0.703,"PR"
"320 º","Itapetininga",0.763,0.728,0.864,0.705,"SP"
"320 º","Gabriel Monteiro",0.763,0.721,0.809,0.762,"SP"
"320 º","Ponta Grossa",0.763,0.755,0.837,0.703,"PR"
"320 º","Barra Funda",0.763,0.731,0.856,0.71,"RS"
"320 º","Fagundes Varela",0.763,0.773,0.852,0.674,"RS"
"320 º","Buritama",0.763,0.736,0.839,0.72,"SP"
"320 º","Guarulhos",0.763,0.746,0.831,0.717,"SP"
"335 º","Paraguaçu Paulista",0.762,0.717,0.836,0.739,"SP"
"335 º","Sumaré",0.762,0.744,0.845,0.705,"SP"
"335 º","David Canabarro",0.762,0.74,0.87,0.688,"RS"
"335 º","Saldanha Marinho",0.762,0.745,0.841,0.706,"RS"
"335 º","Itupeva",0.762,0.75,0.844,0.699,"SP"
"335 º","Serranópolis do Iguaçu",0.762,0.778,0.859,0.662,"PR"
"335 º","Boa Vista do Buricá",0.762,0.761,0.834,0.697,"RS"
"335 º","Mirassol",0.762,0.748,0.846,0.698,"SP"
"335 º","Osvaldo Cruz",0.762,0.74,0.837,0.713,"SP"
"335 º","Itapira",0.762,0.75,0.852,0.692,"SP"
"335 º","Torres",0.762,0.75,0.862,0.685,"RS"
"335 º","São Joaquim da Barra",0.762,0.74,0.847,0.706,"SP"
"335 º","Mococa",0.762,0.756,0.827,0.709,"SP"
"335 º","Santa Cruz do Rio Pardo",0.762,0.744,0.867,0.686,"SP"
"335 º","São Francisco do Sul",0.762,0.74,0.856,0.699,"SC"
"350 º","Nova Pádua",0.761,0.762,0.852,0.678,"RS"
"350 º","Indiana",0.761,0.714,0.843,0.733,"SP"
"350 º","Alfenas",0.761,0.737,0.841,0.712,"MG"
"350 º","Panambi",0.761,0.752,0.848,0.691,"RS"
"350 º","Itapoá",0.761,0.739,0.874,0.682,"SC"
"350 º","Entre Rios do Oeste",0.761,0.778,0.826,0.686,"PR"
"350 º","Umuarama",0.761,0.755,0.836,0.698,"PR"
"350 º","Vila Maria",0.761,0.791,0.839,0.664,"RS"
"350 º","Santa Rita D'Oeste",0.761,0.711,0.839,0.74,"SP"
"350 º","São João do Oeste",0.761,0.756,0.873,0.668,"SC"
"350 º","Taió",0.761,0.749,0.879,0.67,"SC"
"350 º","Batatais",0.761,0.766,0.84,0.685,"SP"
"350 º","Conselheiro Lafaiete",0.761,0.736,0.86,0.697,"MG"
"350 º","Iguaba Grande",0.761,0.744,0.841,0.704,"RJ"
"350 º","Zortéa",0.761,0.752,0.885,0.661,"SC"
"350 º","Sertãozinho",0.761,0.768,0.855,0.672,"SP"
"366 º","Itaara",0.76,0.761,0.841,0.687,"RS"
"366 º","Sete Lagoas",0.76,0.742,0.84,0.705,"MG"
"366 º","Goiandira",0.76,0.711,0.849,0.727,"GO"
"366 º","Campinas do Sul",0.76,0.753,0.842,0.691,"RS"
"366 º","Araranguá",0.76,0.745,0.853,0.691,"SC"
"366 º","Santa Adélia",0.76,0.75,0.835,0.702,"SP"
"366 º","Tapejara",0.76,0.763,0.837,0.688,"RS"
"366 º","Serafina Corrêa",0.76,0.755,0.843,0.69,"RS"
"366 º","Tijucas",0.76,0.747,0.873,0.672,"SC"
"366 º","Jandira",0.76,0.738,0.841,0.706,"SP"
"366 º","Rio Negro",0.76,0.721,0.863,0.705,"PR"
"366 º","Taiúva",0.76,0.732,0.835,0.718,"SP"
"366 º","Modelo",0.76,0.751,0.886,0.659,"SC"
"366 º","Descalvado",0.76,0.74,0.865,0.687,"SP"
"366 º","Frederico Westphalen",0.76,0.754,0.846,0.688,"RS"
"366 º","Porto Belo",0.76,0.75,0.886,0.66,"SC"
"366 º","Estrela D'Oeste",0.76,0.712,0.873,0.705,"SP"
"383 º","Várzea Paulista",0.759,0.72,0.863,0.705,"SP"
"383 º","Penápolis",0.759,0.748,0.859,0.68,"SP"
"383 º","Iporã do Oeste",0.759,0.743,0.847,0.695,"SC"
"383 º","Monte Alegre do Sul",0.759,0.752,0.858,0.678,"SP"
"383 º","Santo Antônio do Planalto",0.759,0.701,0.885,0.705,"RS"
"383 º","Nova Candelária",0.759,0.794,0.856,0.643,"RS"
"383 º","Salvador",0.759,0.772,0.835,0.679,"BA"
"383 º","Cornélio Procópio",0.759,0.746,0.848,0.692,"PR"
"383 º","São Lourenço",0.759,0.746,0.871,0.673,"MG"
"383 º","Presidente Getúlio",0.759,0.764,0.874,0.654,"SC"
"383 º","Taquaral",0.759,0.742,0.823,0.716,"SP"
"383 º","Caraguatatuba",0.759,0.735,0.845,0.705,"SP"
"383 º","Rio das Pedras",0.759,0.741,0.842,0.7,"SP"
"383 º","Três de Maio",0.759,0.756,0.834,0.694,"RS"
"383 º","Inúbia Paulista",0.759,0.688,0.849,0.75,"SP"
"383 º","Gurupi",0.759,0.736,0.843,0.706,"TO"
"383 º","Rubinéia",0.759,0.713,0.844,0.726,"SP"
"400 º","Herval D'Oeste",0.758,0.74,0.859,0.684,"SC"
"400 º","Picada Café",0.758,0.738,0.842,0.701,"RS"
"400 º","São José dos Pinhais",0.758,0.749,0.859,0.678,"PR"
"400 º","Guabiju",0.758,0.831,0.857,0.612,"RS"
"400 º","Álvares Machado",0.758,0.712,0.834,0.732,"SP"
"400 º","Cordeirópolis",0.758,0.754,0.858,0.674,"SP"
"400 º","Fernando Prestes",0.758,0.746,0.859,0.68,"SP"
"400 º","Iguaraçu",0.758,0.714,0.833,0.732,"PR"
"400 º","Nova Mutum",0.758,0.773,0.837,0.673,"MT"
"400 º","João Monlevade",0.758,0.724,0.849,0.708,"MG"
"400 º","Nova Londrina",0.758,0.735,0.856,0.691,"PR"
"400 º","São João Del Rei",0.758,0.733,0.86,0.69,"MG"
"400 º","Piraju",0.758,0.74,0.843,0.699,"SP"
"400 º","Itaúna",0.758,0.749,0.85,0.685,"MG"
"400 º","Maripá",0.758,0.736,0.866,0.684,"PR"
"400 º","Porto Feliz",0.758,0.737,0.836,0.706,"SP"
"400 º","Colorado",0.758,0.775,0.835,0.674,"RS"
"400 º","Antônio Prado",0.758,0.777,0.835,0.671,"RS"
"400 º","Faxinal dos Guedes",0.758,0.746,0.863,0.676,"SC"
